,PatentNumber,PatentAsignee
91,US2019282694-A1,TULANE EDUCATIONAL FUND (TULA-C)
92,US2019282694-A1,AUTOIMMUNE TECHNOLOGIES LLC (AUTO-Non-standard)
93,US2019282694-A1,AUTOIMMUNE TECHNOLOGIES INC (AUTO-Non-standard)
94,WO2019175605-A1,LIVERPOOL SCHOOL TROPICAL MEDICINE (LIVE-Non-standard)
95,WO2019175436-A1,UNIV SIENA (UYSI-Non-standard)
96,WO2019173602-A1,UNIV EMORY (UEMR-C)
97,WO2019173756-A1,AVROBIO INC (AVRO-Non-standard)
98,US2019274967-A1,PROFEAT BIOTECHNOLOGY CO LTD (PROF-Non-standard)
99,CN110215456-A,UNIV HUAZHONG AGRIC (UHZA-C)
100,KR2018201-B1,KOREA PUBLIC (KOPU-Non-standard)
101,KR2019008-B1,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
102,KR2019008-B1,KOREA CENT DISEASE CONTROL & PREVENTION (KODI-Non-standard)
103,CN110157839-A,WUXI CUSTOMS PEOPLES REPUBLIC CHINA (WUXI-Non-standard)
104,CN110157839-A,CHINESE CENT DISEASE CONTROL & PREVENTIO (CCDC-C)
105,US2019255085-A1,GILEAD SCI INC (GILE-C)
106,CN110144422-A,WUXI CUSTOMS DISTRICT PEOPLES REPUBLIC (WUXI-Non-standard)
107,CN110144422-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
108,CN110128510-A,ACAD MILITARY MEDICAL SCI PLA (JSYX-C)
109,CN110124027-A,QILU ANIMAL HEALTH PROD CO LTD (QILU-Non-standard)
110,CN110105348-A,UNIV NANKAI (UNAN-C)
111,CN110101705-A,UNIV HENAN AGRIC (UYHR-C)
112,KR2019092776-A,UNIV KOOKMIN IND ACAD COOP FOUND (UYKO-C)
113,WO2019151632-A1,CELLTRION INC (CELL-Non-standard)
114,KR2007161-B1,KOREA PUBLIC (KOPU-Non-standard)
115,CN110093458-A,UNIV SOUTH CHINA AGRIC (USCG-C)
116,CN110093461-A,UNIV ANHUI AGRIC (UYAH-C)
117,CN110079637-A,UNIV INNER MONGOLIA NATIONALITY (UIMN-C)
118,CN110079541-A,UNIV SOUTH CHINA AGRIC (USCG-C)
119,WO2019147050-A1,ST PHARM CO LTD (SPHA-Non-standard)
120,US2019232279-A1,GENMARK DIAGNOSTICS INC (GENM-Non-standard)
121,WO2019147604-A2,UNIV VANDERBILT (UVAN-C)
122,KR2005685-B1,UNIV YONSEI IND ACADEMIC COOP FOUND (UYIA-C)
123,KR2005685-B1,KOREA DISEASE CONTROL & PREVENTION CENT (KODI-Non-standard)
124,WO2019147831-A1,REGENERON PHARM INC (REGN-C)
125,WO2019147831-A1,REGENERON PHARM INC (REGN-C)
126,RU2696007-C1,FEDERAL CENT TOXICOLOGICAL RADIATION (TOXI-Soviet Institute)
127,CN110063954-A,UNIV HUAZHONG AGRIC (UHZA-C)
128,CN110063954-A,CLOUDPET BEIJING ANIMAL MEDICAL TECHNOLOGY CO LTD (CLOU-Non-standard)
129,WO2019136824-A1,MILITARY MEDICAL SCI ACAD (MILI-Non-standard)
130,AU2019204604-A1,ZOETIS SERVICES LLC (ZOET-C)
131,WO2019137463-A1,MEDSPRING INT LTD (MEDS-Non-standard)
132,WO2019137463-A1,MEDSPRING INT LTD (MEDS-Non-standard)
133,RU2694558-C1,UNIV KUBAN AGRIC (UYKU-Non-standard)
134,RU2694499-C1,UNIV KUBAN AGRIC (UYKU-Non-standard)
135,CN110003303-A,UNIV HENAN AGRIC (UYHR-C)
136,WO2019135003-A1,ENZYMATICA AB (ENZY-Non-standard)
137,CN109988865-A,UNIV XIAMEN (UYXI-C)
138,CN109970851-A,UNIV YANGZHOU (UYYZ-C)
139,KR2019078174-A,KOREA DISEASE CONTROL & PREVENTION CENT (KODI-Non-standard)
140,KR2019078174-A,UNIV KOREA RES & BUSINESS FOUND (UYKR-C)
141,KR2019078174-A,BIONOTE INC (BION-Non-standard)
142,WO2019133712-A1,SCHINAZI R F (SCHI-Individual)
143,WO2019133712-A1,AMBLARD F (AMBL-Individual)
144,WO2019133712-A1,GAVEGNANO C (GAVE-Individual)
145,WO2019133712-A1,COX B (COXB-Individual)
146,WO2019133712-A1,MENGSHETTI S (MENG-Individual)
147,WO2019126577-A2,BROAD INST INC (BROD-C)
148,WO2019126577-A2,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
149,WO2019126577-A2,HARVARD COLLEGE (HARD-C)
150,WO2019121916-A1,HIPRA SCI SLU (HIPR-Non-standard)
151,EP3502698-A1,MICROBPLEX INC (MICR-Non-standard)
152,CN109913423-A,UNIV YANGZHOU (UYYZ-C)
153,CN109913584-A,GUANGXI ZHUANG AUTONOMOUS REGION INST (GUAG-C)
154,KR2019070629-A,UNIV CHONBUK NAT IND COOP FOUND (UYCN-C)
155,WO2019118480-A1,BETH ISRAEL DEACONESS MEDICAL CENT (BEIS-C)
156,WO2019110486-A1,INTERVET INT BV (IVET-C)
157,WO2019110486-A1,INTERVET INC (MERI-C)
158,WO2019113462-A1,UNIV EMORY (UEMR-C)
159,WO2019110213-A1,INTERVET INT BV (IVET-C)
160,WO2019110213-A1,INTERVET INC (MERI-C)
161,KR2019063512-A,KYU Y H (KYUY-Individual)
162,WO2019108877-A1,UNIV HAWAII (UYHW-C)
163,CN109796531-A,SHANGHAI VETERINARY INST CHINESE ACAD AG (CAGS-C)
164,WO2019099868-A2,C4 THERAPEUTICS INC (CFOU-Non-standard)
165,JP2019077681-A,NBC MESHTEC INC (NIPQ-C)
166,CN109765384-A,BEIJING KWINBON BIOTECHNOLOGY CO LTD (BEIJ-Non-standard)
167,US2019142792-A1,CACAO BIO-TECHNOLOGIES LLC (CACA-Non-standard)
168,CN109735504-A,BEIJING DABEINONG TECHNOLOGY GROUP CO (DBNO-C)
169,CN109735504-A,BEIJING DABEINONG SCI & TECHNOLOGY GROUP (DBNO-C)
170,WO2019087092-A1,AURIGENE DISCOVERY TECHNOLOGIES LTD (REDY-C)
171,WO2019087092-A1,CURIS INC (CURS-C)
172,WO2019086646-A1,INTERVET INT BV (IVET-C)
173,WO2019086646-A1,INTERVET INC (MERI-C)
174,KR2019045050-A,YU H J (YUHJ-Individual)
175,KR2019045050-A,YESKIN (YESK-Non-standard)
176,WO2019084484-A1,BAYLOR COLLEGE MEDICINE (BAYU-C)
177,WO2019084484-A1,UNIV RICE WILLIAM MARSH (RICV-C)
178,WO2019078600-A1,ATGEN CO LTD (ATGE-Non-standard)
179,WO2019078600-A1,UNIV YONSEI IND ACADEMIC COOP FOUND (UYIA-C)
180,WO2019078600-A1,NKMAX CO LTD (NKMA-Non-standard)
181,WO2019079339-A1,AVALON FLAVIVIRAL THERAPEUTICS HK LTD (AVAL-Non-standard)
182,WO2019079339-A1,VERSITECH LTD (UYHK-C)
183,WO2019079339-A1,LAU J Y (LAUJ-Individual)
184,WO2019079339-A1,AVALON FLAVIVIRAL THERAPEUTICS HK LTD (AVAL-Non-standard)
185,WO2019079339-A1,VERSITECH LTD (UYHK-C)
186,US2019119266-A1,INHIBIKASE THERAPEUTICS INC (INHI-Non-standard)
187,WO2019079671-A1,ACAD SINICA (SNIC-C)
188,WO2019079671-A1,YANG A (YANG-Individual)
189,US2019117702-A1,UNIV INDIANA RES & TECHNOLOGY CORP (INDV-C)
190,US2019117702-A1,US DEPT VETERANS AFFAIRS (USGO-C)
191,CN109666070-A,UNIV TSINGHUA (UYQI-C)
192,CN109666766-A,TECH CENT INSPECTION & QUARANTINE ZHUHAI (TEIN-Non-standard)
193,CN109651488-A,GUANGXI ZHUANG AUTONOMOUS REGION INST (GUAG-C)
194,CN109628494-A,UNIV SOUTH CHINA AGRIC (USCG-C)
195,CN109628494-A,WENS FOODSTUFF GROUP CO LTD (WENS-Non-standard)
196,KR1969696-B1,KOREA CENT DISEASE CONTROL & PREVENTION (KODI-Non-standard)
197,KR1969696-B1,OSONG MEDICAL INNOVATION FOUND (OSON-Non-standard)
198,CN109609692-A,BEIJING ZHUOCHENG HUISHENG BIOLOGICAL (BEIJ-Non-standard)
199,CN109609691-A,UNIV HENAN AGRIC (UYHR-C)
200,US2019105368-A1,CALDER BIOSCIENCES INC (CALD-Non-standard)
201,WO2019071051-A1,BROAD INST INC (BROD-C)
202,WO2019071051-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
203,WO2019071051-A1,HARVARD COLLEGE (HARD-C)
204,CN109593889-A,GUANGZHOU DONGBAI BIOTECHNOLOGY CO LTD (GUAN-Non-standard)
205,CN109593889-A,UNIV ZHEJIANG (UYZH-C)
206,WO2019067805-A1,UNIV SOUTHERN CALIFORNIA (USCA-C)
207,WO2019067671-A1,WEINER D (WEIN-Individual)
208,WO2019067671-A1,SMITH T R (SMIT-Individual)
209,KR2019035542-A,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
210,CN109554508-A,INST ANIMAL & VETERINARY FUJIAN ACAD AGR (IAMV-C)
211,EP3460053-A1,CEVA SANTE ANIMALE (CEVA-C)
212,EP3460053-A1,CEVA SANTE ANIMALE (CEVA-C)
213,CN109517926-A,UNIV JILIN (UYJI-C)
214,WO2019053696-A1,ALIOS BIOPHARMA INC (JOHJ-C)
215,US2019085024-A1,PHELIX THERAPEUTICS (PHEL-Non-standard)
216,US2019083569-A1,UNIV LOUISVILLE RES FOUND INC (UYLO-Non-standard)
217,CN109439799-A,UNIV JIANGXI AGRIC (UNJA-C)
218,WO2019046664-A1,APPLIED BIOLOGICAL LAB INC (BIOL-Non-standard)
219,WO2019043201-A1,UNIV SORBONNE (UYSO-Non-standard)
220,WO2019043201-A1,ASSISTANCE PUBLIQUE-HOPITAUX PARIS (ASSI-C)
221,WO2019043201-A1,INSERM NAT SANTE & RECH MEDICALE INST (INRM-C)
222,RU2681473-C1,UNIV KUBAN AGRIC (UYKU-Non-standard)
223,WO2019042470-A1,UNIV EAST CHINA SCI & TECHNOLOGY (UYEC-C)
224,WO2019042470-A1,UNIV EAST CHINA SCI & TECHNOLOGY (UYEC-C)
225,WO2019039863-A2,APTAMER SCI INC (APTA-Non-standard)
226,WO2019039863-A2,POSTECH ACAD-IND FOUND (UYPO-C)
227,CN109371174-A,JIANGSU EHCHUANG BIOLOGICAL TECHNOLOGY (JIAN-Non-standard)
228,CN109364083-A,UNIV HUAZHONG AGRIC (UHZA-C)
229,WO2019035972-A1,UNIV GEORGIA STATE RES FOUND (UYGA-C)
230,CN109355365-A,LANZHOU VETERINARY RES INST CHINA AGRIC (CAGS-C)
231,CN109355365-A,UNIV NANKAI (UNAN-C)
232,WO2019027501-A1,UNIV MARYLAND BALTIMORE COUNTY (UMBA-C)
233,WO2019027670-A1,UNIV KANSAS STATE RES FOUND (UNIV-C)
234,US2019040370-A1,UNIV CALIFORNIA (REGC-C)
235,WO2019022357-A1,UNIV ULSAN FOUND IND COOP (UYUL-Non-standard)
236,WO2019022357-A1,ASAN FOUND (ASFO-C)
237,CN109276563-A,ZHUHAI XINZHAN BIOTECHNOLOGY CO LTD (ZHUH-Non-standard)
238,CN109276563-A,POWER NATURE (POWE-Non-standard)
239,WO2019018439-A1,SPARK THERAPEUTICS INC (SPAR-Non-standard)
240,US2019023769-A1,UNIV NORTH CAROLINA (UNCR-C)
241,US2019023769-A1,UNIV JOHNS HOPKINS (UYJO-C)
242,US2019023769-A1,UNIV NORTH CAROLINA (UNCR-C)
243,EP3431101-A1,EUROCINE VACCINES AB (EURO-Non-standard)
244,EP3431099-A1,UNIV NEW YORK STATE RES FOUND (UYNY-C)
245,WO2019011293-A1,UNIV EAST CHINA SCI & TECHNOLOGY (UYEC-C)
246,WO2019011293-A1,UNIV YUNNAN (UYUN-C)
247,WO2019011293-A1,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
248,WO2019011293-A1,UNIV YUNNAN (UYUN-C)
249,CN109207639-A,NANTONG INT TRAVEL HEALTH CARE CLINIC (NANT-Non-standard)
250,CN109206502-A,UNIV NORTHEAST AGRIC (UNEA-C)
251,CN109206501-A,UNIV NORTHEAST AGRIC (UNEA-C)
252,CN109206509-A,LUOYANG PULAIKE WANTAI BIOLOGICAL TECHNO (LUOY-Non-standard)
253,WO2019010422-A1,BROAD INST INC (BROD-C)
254,WO2019010422-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
255,WO2019010422-A1,HARVARD COLLEGE (HARD-C)
256,CN109161613-A,UNIV ZHEJIANG A & F (UZAF-C)
257,CN109112111-A,UNIV HUAZHONG AGRIC (UHZA-C)
258,CN109111405-A,UNIV NANKAI (UNAN-C)
259,CN109097490-A,GUANGXI ZHUANG AUTONOMOUS REGION INST (GUAG-C)
260,CN109097488-A,BEIJING ACAD AGRIC & FORESTRY SCI (BJAF-C)
261,JP2018203632-A,JAPAN HEALTH SCI FOUND (NIHE-Non-standard)
262,WO2018224595-A1,HIPRA SCI SLU (HIPR-Non-standard)
263,CN208224282-U,HANGZHOU WEIRUI TECHNOLOGY CO LTD (HANG-Non-standard)
264,CN108938589-A,YANG L (YANG-Individual)
265,CN108938589-A,YANG Y (YANG-Individual)
266,CN108938589-A,SHI Y (SHIY-Individual)
267,CN108950083-A,UNIV HENAN AGRIC (UYHR-C)
268,WO2018220416-A1,CIE DANONE SA GERVAIS (DNON-C)
269,WO2018220416-A1,BIOASTER (BIOA-Non-standard)
270,WO2018220416-A1,INST PASTEUR (INSP-C)
271,WO2018222983-A1,SHACKELTON L (SHAC-Individual)
272,WO2018222983-A1,KERNER M (KERN-Individual)
273,WO2018222983-A1,SHACKELTON L (SHAC-Individual)
274,WO2018222983-A1,KERNER M (KERN-Individual)
275,JP2018191622-A,NAT AGRIC & FOOD RES ORG (IASC-C)
276,WO2018222986-A1,SHACKELTON L (SHAC-Individual)
277,WO2018222986-A1,KERNER M (KERN-Individual)
278,WO2018222986-A1,SHACKELTON L (SHAC-Individual)
279,WO2018222986-A1,KERNER M (KERN-Individual)
280,CN108912222-A,INST ANIMAL SCI CAAS (CAGS-C)
281,CN108913815-A,ANIMAL HUSBANDRY & VETERINARY INST HUBEI (ANIM-Non-standard)
282,WO2018217075-A1,VIRAMATIX SDN BHD (VIRA-Non-standard)
283,WO2018217075-A1,VIRAMATIX SDN BHD (VIRA-Non-standard)
284,WO2018215766-A1,UNIV OXFORD INNOVATION LTD (UYOX-C)
285,WO2018217882-A1,EMULATE INC (EMUL-Non-standard)
286,CN108893559-A,QINGDAO VET LAB BIOTECHNOLOGY CO LTD (QING-Non-standard)
287,CN108888762-A,FUJIAN AONONG BIOTECHNOLOGY GROUP CO LTD (FUJI-Non-standard)
288,CN108888762-A,JIANGXI AOXIN BIOTECHNOLOGY CO LTD (JIAN-Non-standard)
289,CN108865967-A,CHINA WITTER JIANGSU BIOLOGICAL PHARM CO (CHWI-Non-standard)
290,CN108866243-A,LANZHOU VETERINARY RES INST CHINA AGRIC (CAGS-C)
291,KR2018125141-A,UNIV CHUNGBUK NAT IND ACADEMIC COOP FOU (UYCK-C)
292,KR2018125141-A,UNIV CHUNGBUK NAT IND-ACADEMIC COOP FOUN (UYCK-C)
293,CN108842001-A,SHANDONG NEW HOPE LIUHE GROUP CO LTD (NEHO-C)
294,WO2018207165-A1,UNIV COIMBRA (UYCO-Non-standard)
295,WO2018207165-A1,UNIV LISBOA IFACULDADE DE FARMACIA (UYLI-Non-standard)
296,WO2018207165-A1,EGAS MONIZ-COOP ENSINO SUPERIOR CRL (EGAS-Non-standard)
297,WO2018207165-A1,INST MEDICINA MOLECULAR (MEDI-Non-standard)
298,KR1916899-B1,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
299,KR1916899-B1,BIONANO HEALTH GUARD RES CENT (BION-Non-standard)
300,CN108743585-A,YANG W (YANG-Individual)
301,CN108727453-A,UNIV EAST CHINA SCI & TECHNOLOGY (UYEC-C)
302,CN108721271-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
303,CN108721292-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
304,CN108721293-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
305,WO2018199179-A1,UNIV TOKYO NAT CORP TOKYO MEDICAL & DENT (UYTN-C)
306,WO2018199628-A1,UNIV SUNGKYUNKWAN RES & BUSINESS FOUND (USKK-C)
307,WO2018199628-A1,DOKNIP BIOPHARM CO (DOKN-Non-standard)
308,WO2018199628-A1,DOKNIP BIOPHARM CO (DOKN-Non-standard)
309,CN108715857-A,SOUTHWEST MINZU NATIONALITIES (USWN-C)
310,KR1895228-B1,KOREA CENT DISEASE CONTROL & PREVENTION (KODI-Non-standard)
311,KR1895228-B1,KOREA DISEASE CONTROL & PREVENTION CENT (KODI-Non-standard)
312,CN108707194-A,CHINESE ACAD AGRIC SCI BIOTECHNOLOGY RES (CAGS-C)
313,KR2018115967-A,UNIV CHONBUK NAT IND COOP FOUND (UYCN-C)
314,CN108676780-A,UNIV HUAZHONG AGRIC (UHZA-C)
315,CN108676923-A,LPET TECHNOLOGY BEIJING CO LTD (LPET-Non-standard)
316,CN108676917-A,INST ANIMAL SCI CAAS (CAGS-C)
317,CN207992235-U,HENAN LIANHELIMIN BENEFICIAL BIOTECHNOLOGY CO LTD (HENA-Non-standard)
318,US2018298327-A1,OLOGY BIOSERVICES INC (OLOG-Non-standard)
319,US2018295820-A1,REGENERON PHARM INC (REGN-C)
320,US2018295820-A1,UNIV YALE (UYYA-C)
321,US2018295820-A1,IRB INST RES BIOMEDICINE (IRBR-Non-standard)
322,CN108659105-A,CHINA PLA ACAD MILITARY MEDICAL SCI MEDI (JSYX-C)
323,CN108659105-A,MILITARY MEDICAL SCI ACAD (MILI-Non-standard)
324,KR2018111342-A,UNIV CHOSUN IND ACADEMIC COOP FOUND (CHOS-C)
325,WO2018185709-A1,CENT NEUROCIENCIAS E BIOLOGIA CELULAR CO (NEUR-Non-standard)
326,WO2018185709-A1,CENT NEUROSCIENCE & CELL BIOLOGY (NEUR-Non-standard)
327,WO2018185709-A1,CENT NEUROCIENCIAS E BIOLOGIA CELULAR CO (NEUR-Non-standard)
328,US2018291317-A1,MOREHOUSE SCHOOL MEDICINE (MORE-Non-standard)
329,US2018291317-A1,DEVMAR PROD LLC (DEVM-Non-standard)
330,US2018291317-A1,INNOVATIVE ENVIRONMENTAL CO (INNO-Non-standard)
331,CN108619521-A,SHANGHAI PUBLIC UTILITIES INST (UYFU-C)
332,WO2018181263-A1,NH FOODS LTD (NHFO-Non-standard)
333,WO2018181263-A1,NAT AGRIC & FOOD RES ORG (IASC-C)
334,WO2018181263-A1,NIPPON HAM KK (NIHA-Non-standard)
335,WO2018181263-A1,NAT AGRIC & FOOD RES ORG (IASC-C)
336,WO2018181892-A1,UNIV NAGASAKI (UYNA-Non-standard)
337,WO2018174442-A1,KOREA RES INST CHEM TECHNOLOGY (KRIC-C)
338,WO2018172447-A1,ALPHA-O PEPTIDES AG (ALPH-Non-standard)
339,WO2018172447-A1,ALPHA-O PEPTIDES AG (ALPH-Non-standard)
340,US2018271783-A1,UNIV IOWA RES FOUND (IOWA-C)
341,CN207908523-U,INST ANIMAL SCI CAAS (CAGS-C)
342,CN108559789-A,SUZHOU CLICKGENE BIOTECHNOLOGY CO LTD (SUZH-Non-standard)
343,WO2018169946-A1,GILEAD SCI INC (GILE-C)
344,WO2018169946-A1,GILEAD SCI INC (GILE-C)
345,WO2018169946-A1,GILEAD SCI INC (GILE-C)
346,WO2018169946-A1,UNIV CALIFORNIA (REGC-C)
347,WO2018169946-A1,UNIV CALIFORNIA (REGC-C)
348,WO2018170347-A1,MODERNATX INC (MODR-C)
349,WO2018170340-A1,BROAD INST INC (BROD-C)
350,WO2018170340-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
351,WO2018170340-A1,HARVARD COLLEGE (HARD-C)
352,WO2018170340-A1,ABUDAYYEH O (ABUD-Individual)
353,WO2018170340-A1,GOOTENBERG J (GOOT-Individual)
354,WO2018170340-A1,LANDER E S (LAND-Individual)
355,WO2018170340-A1,SABETI P (SABE-Individual)
356,WO2018170340-A1,FREIJE C A (FREI-Individual)
357,WO2018170340-A1,MYHRVOLD C (MYHR-Individual)
358,WO2018170340-A1,BROAD INST INC (BROD-C)
359,WO2018170340-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
360,WO2018170340-A1,HARVARD COLLEGE (HARD-C)
361,WO2018170340-A1,BROAD INST INC (BROD-C)
362,WO2018170340-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
