,Title,PatentNumber,publishDate,language,pages,region,na
25, Expressing and producing transmissible gastroenteritis coronavirus (TGEV) AH virus useful for rescuing TGEV AH virus by using pBeloBAC11 as vector and linear expression construct for reconstructing TGEV AH virus particle.,CN110468113-A,2019,Chinese,5,China,CN
26," Mixed solution useful for preparing kit for detecting Middle East respiratory syndrome coronavirus gene, comprises upstream of envelope gene and nucleocapsid protein gene-specific forward and reverse primers, and specific probes.",CN110468237-A,2019,Chinese,3,China,CN
27, New multiple fluorescent quantitative PCR kit used to detect 19 human respiratory viruses e.g. human parainfluenza virus type I comprises PCR amplification kit having respiratory virus detection amplification solutions and reference kit.,CN110468234-A,2019,Chinese,1,JiangSu,CN
28, New anti bovine coronavirus nucleocapsid (BCoV-N) protein monoclonal antibody hybridoma cell strain useful e.g. for preventing bovine coronavirus and preparing bovine coronavirus antigen diagnostic kits.,CN110452884-A,2019,Chinese,5,China,CN
29," Immunogenic composition ofr reducing incidence of or severity of clinical sign or symptom of infection by porcine epidemic disease virus (PEDV) or enterotoxigenic Escherichia coli (ETEC), comprises recombinant protein from PEDV or ETEC.",WO2019217967-A1,2019,English,6,World,WO
30," Pharmaceutical composition used in preparing medicine for treating canine coronavirus disease, is prepared by following traditional Chinese medicines comprises Ajuga decumbens thunb, Castanopsis delavayi franch and Ampelopsis heterophylla.",CN110420274-A,2019,Chinese,0,JiangSu,CN
31," Complete set of primer probe useful in kit or Taqman low density microfluidic chip for preparing product used for e.g. identifying 29 respiratory pathogens e.g. influenza A virus, comprises specific sets of primer probe combination.",CN110408726-A,2019,Chinese,9,China,CN
32," Adjuvant composition useful for vaccine composition for poultry, comprises vitamin E and/or sucrose fatty acid ester, polyoxyethylene hydrogenated castor oil, and acrylic polymer.",CN110404064-A,2019,Chinese,7,China,CN
33, Use of (1-methyl-5-(2-(5-trifluoromethyl-1H-imidazol-2-yl)-pyridin-4-yloxy)-1H-benzoimidazol-2-yl)-(4-trifluoromethyl-phenyl)-amine in preparing broad-spectrum antiviral medicine or composition for inhibiting virus infection.,CN110403941-A,2019,Chinese,3,China,CN
34," Kit useful detecting target nucleic acid sequence of several pneumonia-associated pathogenic microorganisms in sample, contains storage device comprising amplification primer set and internal quantitative standard nucleic acids.",CN110396559-A,2019,Chinese,2,China,CN
35," Formulating a cleaning composition for preventing and/or decontaminating a surface from pathogen by coating a granular absorbent material with coating agent, and mixing coated absorbent material with sanitation agent.",US2019330572-A1,2019,English,4,World,US
36, Livestock animal or offspring or animal cell comprises one modified chromosomal sequence in gene encoding an aminopeptidase N protein.,WO2019210175-A1,2019,English,0,World,WO
37," Monoclonal antibody consisting of light chain comprises comprises any one polypeptide sequence selected from group consisting of polypeptide sequence, or functional fragment, which are CDR1 region, CDR2 region and CDR3 region.",KR2019122283-A,2019,,0,World,KR
38," Pharmaceutical composition for treating disease, e.g. Middle East respiratory syndrome, in animal, comprises 1st formulation comprising bioactive component, and solubility modifier, and 2nd formulation comprising bioactive component.",WO2019202285-A1,2019,English,6,World,WO
39," Kit useful for detecting porcine deltacoronavirus nucleocapsid (PDCoV-N) protein antigen, contains enzyme-linked immunosorbent assay plate coated with monoclonal antibody PDCoV-N-1A2, color developing solution and washing solution.",CN110361542-A,2019,Chinese,3,JiangSu,CN
40, Primer probe useful for detecting respiratory virus for non-diagnostic purposes or assisting in the detection of respiratory viruses.,CN110358865-A,2019,Chinese,0,China,CN
41," New expression vector useful in useful in vaccine, medicinal composition and diagnostic kit for preventing and treating middle East respiratory syndrome coronavirus infection, disease i.e. respiratory disease by producing antibody.",KR2019119391-A,2019,,2,World,KR
42, Detecting infection in subject involves assaying sample representative of gene expression in subject to obtain data indicative of relative abundance of target molecules indicative of expression of gene pair DUSP1 and IFI27.,WO2019197833-A1,2019,English,6,World,WO
43," New pyridine compounds used in preparing medicine for treating disease mediated by janus kinase-2 inhibitor including e.g. myelodysplastic syndrome and tumor, inflammatory diseases, bacterial infection, viral infection and fungal infection.",WO2019196937-A1,2019,Chinese,3,World,WO
44," Composition useful for increasing human's immune response to non-Burkholderia immunogen, comprises non-Burkholderia immunogen and outer membrane vesicles derived from organisms of e.g. Burkholderia pseudomallei, or Burkholderia mallei.",WO2019199955-A1,2019,English,8,World,WO
45," New pyrimidine compounds containing acidic groups are toll-like receptor 7 modulators used to treat e.g. cancer, viral infection including common cold, and infection due to respiratory syncytial virus and influenza and conjunctivitis.",US2019314372-A1,2019,English,8,World,US
46," Efficiently and rapidly constructing a porcine intestinal coronavirus recombinant virus comprises e.g. designing two sgRNAs scraping the ORF3 gene of porcine epidemic diarrhea virus AJ1102 strain, amplifying and homologously recombining.",CN110331171-A,2019,Chinese,9,China,CN
47," New duck-gamma interferon useful in preparation of medicament for preventing and/or treating duck viral disease e.g. duckling viral hepatitis, duck viral enteritis and gosling plague, comprises specific amino acid sequence.",CN110317256-A,2019,Chinese,6,China,CN
48," Binary inactivated vaccine useful for preventing and treating pig epidemic diarrhea and porcine delta coronavirus disease, comprises porcine epidemic diarrhea and porcine delta coronavirus.",CN110314228-A,2019,Chinese,3,China,CN
49," New isolated antibody polypeptide comprising heavy chain variable domain that specifically binds to lymphocyte activation gene 3 useful for treating e.g. glioblastoma, malaria and allergy and detecting LAG-3 in human.",CN110305215-A,2019,Chinese,3,JiangSu,CN
50," New antimicrobial agent containing lauroyl arginine ethyl, prepared by heating lauroyl arginine ethyl compound, adding organic acid salt solution, mixing, reacting and cooling.",CN110302192-A,2019,Chinese,9,China,CN
51," New nucleic acid construct comprising guide RNA portion binding to target RNAs and RNA cleavage clustered regularly interspaced short palindromic repeats associated protein expressing portion, used for providing e.g. antiviral effect.",WO2019189827-A1,2019,Japanese,2,World,WO
52, New fusion protein comprising first polypeptide comprising interleukin-2 (IL2) polypeptide and second polypeptide comprising extracellular domain of IL-2 receptor alpha polypeptide having fewer glycosylation used to.,WO2019191295-A1,2019,English,3,World,WO
53," Treating, managing or preventing an RNA virus-related disease or condition caused by RNA virus e.g. Coronaviridae family virus and Pneumoviridae family virus comprises administering 5'-adenosine diphosphate ribose.",US2019298752-A1,2019,English,7,World,US
54," Preparing mutant strain of Mycoplasma hyopneumoniae (Mhyo) by transforming a strain of Mhyo by using transposon vector comprising DNA sequence coding for transposase, and exogenous DNA sequence comprising marker gene.",EP3546580-A1,2019,English,1,World,EP
55," Dual reverse-transcription recombinase aided amplification primer set useful for detecting porcine epidemic diarrhea virus and porcine deltacoronavirus, comprises PEDV-forward primer and PEDV-reverse primer and PDCoV-F and PDCoV-R.",CN110283938-A,2019,Chinese,6,China,CN
56," New isolated antibody polypeptide comprising heavy chain variable domain that specifically binds to lymphocyte-activation gene 3, useful for e.g. treating disease including cancer, autoimmune disorder, and infectious disease.",WO2019179365-A1,2019,English,7,JiangSu,WO
57, New substituted arylnaphthalene compound useful in pharmaceutical composition for treating viral infection.,WO2019182947-A1,2019,English,4,World,WO
58," Composition used for treating diarrheal disease e.g. cholera, comprises polyphenol-rich extract of mixture of blueberry or bilberry from Vaccinium cyanococcus or Vaccinium myrtillis, and sloe berry from Prunus spinosa.",WO2019180688-A2,2019,English,5,World,WO
59," New duck-alpha interferon useful in preparation of medicament or agent for preventing and/or treating duck viral disease including duck virus hepatitis, and duck plague, comprises specific amino acid sequence.",CN110272480-A,2019,Chinese,7,JiangSu,CN
60," New multiplex reverse transcription polymerase chain reaction detection primer useful for detecting transmissible gastroenteritis virus, porcine epidemic diarrhea virus, swine acute diarrhea syndrome coronavirus and porcine deltacoronavirus.",CN110257557-A,2019,Chinese,6,China,CN
61," New duck interferon-lambda useful in preparation of medicament for preventing or treating duck viral disease e.g. duck viral hepatitis and duck viral enteritis, comprises specific base pair sequence.",CN110256552-A,2019,Chinese,4,China,CN
62, Use of 3C-like proteases as non-diagnostic/therapeutic target for deubiquitinating enzymes and interferon antagonist and preparing deubiquitinating enzyme medicine and interferon antagonist medicine for treating interferon pathway disease.,CN110257357-A,2019,Chinese,9,China,CN
63," System useful for detecting pathogens and/or antimicrobial resistance in sample, comprises detection module comprising fluid handling system for performing recombinase polymerase assay on sample, and data analysis and processing module.",WO2019178188-A1,2019,English,0,World,WO
64," New anti-human cluster of differentiation (CD)26 monoclonal antibody or its antigen-binding fragment, useful in composition for immunostaining human CD26 for e.g. diagnosing cancer cells.",JP2019156807-A,2019,Japanese,0,World,JP
65," New fusion polypeptide useful in pharmaceutical composition or as medicament for preventing or treating autoimmune disease, comprises domain derived from immunoglobulin heavy chain constant region, and hinge regions.",WO2019175606-A1,2019,English,8,World,WO
66," New immunoprotective primary mesenchymal stems cells (IP-MSC) that episomally express immunoreactive polypeptides that specifically target a viral pathogen, used e.g. to treat or prevent infection caused by pathogen e.g. cytomegalovirus.",US2019282694-A1,2019,English,6,World,US
67," Chimeric fragment crystallizable receptor binding protein used in pharmaceutical composition as medicament and vaccine for treating pathogen disease, comprises chimeric fragment crystallizable receptor binding protein.",WO2019175605-A1,2019,English,6,World,WO
68," New substituted 1H-pyrrole compounds used for destabilizing viral envelope for treating viral disease caused by enveloped virus e.g. HIV-1, Herpes 1 virus, Herpes 2 virus, influenza virus, respiratory syncytial virus and cytomegalovirus.",WO2019175436-A1,2019,English,4,World,WO
69, Composition useful in pressurized container to treat or prevent viral infection e.g. infection of Eastern equine encephalitis virus and Western equine encephalitis virus comprises excipient and 4-halo containing nucleotide or nucleoside.,WO2019173602-A1,2019,English,1,World,WO
70," Treating Parkinson's disease in human, involves administering composition comprising population of pluripotent cells that express transgene encoding glucocerebrosidase to human.",WO2019173756-A1,2019,English,7,World,WO
71, Pharmaceutical composition used for inhibiting and/or killing virus includes sintered ferrous amino acid particles prepared by sintering a ferrous amino acid chelate which includes ferrous ions and amino acid.,US2019274967-A1,2019,English,7,World,US
72," Synergistic composition useful for treating feline infectious peritonitis, comprises GC376 and GS-441524.",CN110215456-A,2019,Chinese,0,China,CN
73," Kit useful for detecting bat-derived coronaviruses using real-time PCR, comprises combination of primers and probes including pair of forward and reverse primers, and probe having specific base pair sequence.",KR2018201-B1,2019,,7,World,KR
74," Detecting Middle East respiratory syndrome (MERS) coronavirus useful for diagnosing MERS coronavirus infection by reacting sample with antigen, reacting monoclonal antibody with detection antigen, and measuring level of detection label.",KR2019008-B1,2019,,2,World,KR
75," Quadruple fluorescence quantitative detection kit useful for simultaneously detecting four human coronavirus (HCoV) i.e. HCoV-229E, HCoV-NL63, HCoV-OC43 or HCoV-HKUI comprises four sets of specific primer pairs and probe.",CN110157839-A,2019,Chinese,6,JiangSu,CN
76," Treating Coronaviridae infection caused by Coronaviridae virus comprising severe acute respiratory syndrome and middle east respiratory syndrome in human, comprises administering substituted nucleoside compounds.",US2019255085-A1,2019,English,7,World,US
77," Simultaneously detecting four kinds of human coronavirus quadruplex fluorescent quantitative detection kit useful for detecting four human coronaviruses of MERS-CoV, HCoV-NL63, HCoV-OC43 and HCoV-HKUI.",CN110144422-A,2019,Chinese,6,JiangSu,CN
78," New polypeptide used in pharmaceutical composition for preparing medicament for treating middle East respiratory syndrome-related coronavirus infection or infection related disease, where disease is middle East respiratory syndrome.",CN110128510-A,2019,Chinese,6,China,CN
79," Bovine rotavirus and bovine coronavirus inactivated vaccine used for e.g. preventing calves diarrhea and immunizing cattle, comprises inactivated vaccine containing inactivated antigen of bovine rotavirus and bovine coronavirus.",CN110124027-A,2019,Chinese,5,China,CN
80," New heterocyclic compound useful in pharmaceutical composition for preparing drug used for treating infection caused by enterovirus and coronavirus, and cysteine protease-induced disease including common cold.",CN110105348-A,2019,Chinese,2,China,CN
81," Use of a BET family protein inhibitor for preparing reagent for inhibiting cyst membrane of the virus into the cell, and inhibiting cyst membrane virus adsorption to cells.",CN110101705-A,2019,Chinese,0,China,CN
82," Inhibitor for spatula MERS coronavirus helicase nsP13 activity, used in pharmaceutical composition for preventing or treating viral diseases, comprises icariin, 1-isomangostin, isovanillyl catalpol, friedelin and 24-methyllanosta-9 (11).",KR2019092776-A,2019,,0,World,KR
83," New neutralizing binding molecule that binds to spike protein on surface of Middle East respiratory syndrome-coronavirus, useful for diagnosing and treating infection caused by Middle East respiratory syndrome coronavirus in subject.",WO2019151632-A1,2019,,4,World,WO
84," New antibodies specifically bind to spike protein S1 of Middle East respiratory syndrome Coronavirus, useful in medicinal composition for treating Coronavirus infection and kit for diagnosing Coronavirus infection.",KR2007161-B1,2019,,6,World,KR
85," New nested PCR primer useful in kit for performing non-diagnostic and therapeutic detection of atypical porcine pestivirus, comprises external primer and internal primer comprising base pair sequences.",CN110093458-A,2019,Chinese,8,China,CN
86," New set of quadruple real-time polymerase chain reaction detection primers comprises e.g. porcine epidemic diarrhea virus detection primers, and porcine transmissible gastroenteritis virus detection primers.",CN110093461-A,2019,Chinese,9,China,CN
87," Multiplex-reverse transcription (RT)-PCR detection method for bovine rotavirus, coronavirus and viral diarrhea virus, by collecting RNA of sample to be detected as RNA template, performing RT-PCR amplification, recording and judging results.",CN110079637-A,2019,Chinese,4,China,CN
88," Constructing coronavirus infectious clone useful for preparing infectious bronchitis virus infectious clone for preparing vector vaccine, comprises e.g. extracting RNA of the coronavirus, and performing reverse transcription to obtain cDNA.",CN110079541-A,2019,Chinese,1,China,CN
89," New pyrimidin-2-one derivative used in pharmaceutical composition for preventing or treating viral infection-related disease, where virus includes coronavirus, picornavirus, phlebovirus, ebolavirus, hepatitis B virus and hepatitis C virus.",WO2019147050-A1,2019,,4,World,WO
90," Microfluidic device useful for detecting human pathogen and/or its genetic material, comprises reaction module, liquid reagent module comprising blisters, housing having open areas over the blisters, and label affixed to housing label.",US2019232279-A1,2019,English,6,World,US
91," New genetically modified T cell useful for increasing engraftment of adoptively transferred T cells or providing long-term delivery of antigen to human, or increasing engraftment of adoptively transferred T cells.",WO2019147604-A2,2019,English,1,World,WO
92," Producing isolate MERS Coronavirus clone useful for producing fluorescent protein-expressing recombinant vector by preparing cDNA different fragment, preparing cassette bacterial artificial chromosome, and inserting fragments into vector.",KR2005685-B1,2019,,8,World,KR
93," Human antigen-binding protein for treating or preventing cancer which is prostate cancer, colon cancer, lung cancer, pancreas cancer, urinary tract cancer, ovarian cancer, prostate adenocarcinoma, that specifically binds to human TMPRSS2.",WO2019147831-A1,2019,English,5,World,WO
94," ASSOCIATED WITH PARAINFLUENZA-3 VACCINE, INFECTIOUS RHINOTRACHEITIS, VIRAL DIARRHEA, ROTA- AND CORONAVIRAL INFECTIONS OF CATTLE INACTIVATED EMULSION.",RU2696007-C1,2019,Russian,0,World,RU
95," Use of FHPI for preparation of feline coronavirus inhibitor, where chemical name of FHPI is 4-4-(4-fluorophenyl)-5-pyridin-4-yl-1,3-dihydro-imidazole-2-subunit cyclohexan-2,5-dien-1-one.",CN110063954-A,2019,Chinese,0,China,CN
96," New polypeptide compound useful in pharmaceutical composition for treating or preventing middle east respiratory syndrome coronavirus (MERS-CoV) infection related disease, preferably MERS-CoV.",WO2019136824-A1,2019,Chinese,8,World,WO
97," Treating a dog for canine diseases, where the canine diseases comprise one or more canine diseases caused by canine diseases virus, involves administering to the dog therapeutically effective amounts of vaccine.",AU2019204604-A1,2019,English,8,World,AU
98," New 4-methoxy-1H-indazole containing compound useful as pharmaceutical composition for treating chemokine receptor 4-mediated disease e.g. respiratory diseases, inflammation of bones and joints, psoriasis and inflammatory skin diseases.",WO2019137463-A1,2019,Chinese,5,World,WO
99, METHOD FOR GENOME DETECTION OF CORONAVIRUS INFECTION CAUSATIVE AGENT IN CATTLE.,RU2694558-C1,2019,Russian,0,World,RU
100, TEST SYSTEM FOR DETECTING CORONAVIRUS INFECTION PATHOGEN GENOME IN CATTLE BY MEANS OF MULTIPLEX POLYMERASE CHAIN REACTION WITH FLUORESCENT DETECTION IN REAL TIME.,RU2694499-C1,2019,Russian,0,World,RU
101, Application of cholesterol transport inhibitors for preparing reagent for inhibiting cell clathrin-mediated viral endocytosis.,CN110003303-A,2019,Chinese,7,China,CN
102," Use of polypeptide having protease activity in preparing medicament for treating or preventing coronavirus infection e.g. common cold, pneumonia, pneumonitis, bronchitis, or severe acute respiratory syndrome in mammal, preferably human.",WO2019135003-A1,2019,English,8,World,WO
103," New probe set useful for preparing the kit for detecting the presence and level of the respiratory virus in a sample or for diagnosing infected respiratory virus, comprises a detection probe and at least two media sub-probes.",CN109988865-A,2019,Chinese,2,China,CN
104," Monoclonal antibody of the CCV virus M protein comprises a pair of hybridoma cell lines against the CCV virus M protein, where the first and second hybridoma cell line is preserved at.",CN109970851-A,2019,Chinese,1,JiangSu,CN
105," Kit useful for pretreating sputum to detect middle east respiratory syndrome-coronavirus, comprises first component containing reducing agent, and second component containing neutralizing agent.",KR2019078174-A,2019,,0,World,KR
106," New substituted nucleosides compounds are NADPH oxidase (NOX) inhibitors, used for treating or preventing HIV, reducing biological activity of infection with HIV and treating or preventing viral infection e.g. Arenavirus and Herpesviridae.",WO2019133712-A1,2019,English,3,World,WO
107," Nucleic acid detection system comprises two or more clustered regularly interspaced short palindromic repeats systems, each clustered regularly interspaced short palindromic repeats system comprising Cas protein and guide molecule.",WO2019126577-A2,2019,English,7,World,WO
108," Combination vaccine for preventing porcine enzootic pneumonia, comprises one or more antigens of Mycoplasma hyopneumoniae, one or more antigens of porcine circovirus, and pharmaceutically acceptable excipients and/or carriers.",WO2019121916-A1,2019,English,3,World,WO
109," Media useful for detecting antigenic exposure or assessing level of antigenic exposure in human following antigenic exposure, comprises reduction of contaminating pre-existing plasma antibodies relative to whole blood or plasma.",EP3502698-A1,2019,English,3,World,EP
110," Recombinant vero cell line stably expressing PDCoV N protein used for preparing porcine delta coronavirus reagent, and monitoring the specific antibody-positive reaction contains PDCoV N protein gene and resistance screening gene.",CN109913423-A,2019,Chinese,1,JiangSu,CN
111, New four porcine enterovirus multiplex fluorescent reverse transcription polymerase chain reaction kit comprises e.g. four pairs of primers and corresponding four TaqMan probes.,CN109913584-A,2019,Chinese,3,China,CN
112," Pharmaceutical composition for preventing or treating congenital immune enhancement or viral infection, comprises human beta-defensin 2, and healthy functional food composition also comprises human beta-defensin 2.",KR2019070629-A,2019,,6,World,KR
113," Isolated polynucleotide or its complement used for treating subject having disease, where disease is acquired immune deficiency syndrome, cancer, tuberculosis, leprosy, typhoid fever, comprises nucleotide sequence encoding hexon protein.",WO2019118480-A1,2019,English,9,World,WO
114," Immunogenic composition comprises alphavirus RNA replicon particles each encoding Borrelia burgdorferi antigens or antigenic fragments, where one alphavirus RNA replicon particle encodes Borrelia burgdorferi outer surface protein A.",WO2019110486-A1,2019,English,9,World,WO
115," Pharmaceutical composition used in pressurized container which is e.g. inhaler for treating or preventing e.g. human coronavirus and Venezuelan equine encephalitis virus, comprises excipient and N4-hydroxycytidine derivatives.",WO2019113462-A1,2019,English,9,World,WO
116, Immunogenic composition used to immunize feline against pathogenic feline calicivirus (FCV) comprises alpha virus RNA replicon particle that encodes FCV antigen.,WO2019110213-A1,2019,English,8,World,WO
117," Testing and detecting coronavirus using real time PCR involves amplifying N gene using pair of primers, and confirming fluorescence value when one fluorescence probe hybridizes with amplification product and disassemblling.",KR2019063512-A,2019,,4,World,KR
118," New substituted (E)-1,3-diphenyl-propenone compounds are glycogen synthase kinase-3beta inhibitors useful for treating e.g. Alzheimer's disease, cancer, obesity, diabetes, inflammatory or autoimmune disease and cardiovascular disorder.",WO2019108877-A1,2019,English,3,World,WO
119, New porcine delta coronavirus N protein monoclonal antibody secreted by a hybridoma cell line useful for preparing product for diagnosing porcine delta coronavirus.,CN109796531-A,2019,Chinese,9,China,CN
120," New substituted amine compound useful in pharmaceutical composition for treating human with medical disorder e.g. abnormal cellular proliferation, tumor, cancer, immune disorder, autoimmune disorder, arthritis, and lupus.",WO2019099868-A2,2019,English,3,World,WO
121," Antiviral disinfectant used for reducing e.g. smallpox virus, comprise monovalent copper compound particle covered with covering layer, and dispersion medium comprising water and/or lower alcohol, in which particles are dispersed.",JP2019077681-A,2019,Japanese,5,World,JP
122," Canine coronavirus antibody fluorescence test strip, comprises sample absorption pad, conjugate release pad a, conjugate release pad b, nitrocellulose membrane, absorbent pad and bottom plate.",CN109765384-A,2019,Chinese,1,China,CN
123, Acceleration of healing of genital warts by applying highly purified epicatechin oligomers from Theobroma cacao.,US2019142792-A1,2019,English,0,World,US
124," New canine distemper virus attenuated vaccine strain used for preparing drugs for treating, preventing, diagnosing or detecting diseases.",CN109735504-A,2019,Chinese,0,China,CN
125," Modulating immune response in human, involves contacting human with inhibitor of V-domain immunoglobulin (Ig) suppressor of T cell activation pathway and T-cell Ig and mucin-domain containing-3 pathway.",WO2019087092-A1,2019,English,6,World,WO
126," Immunogenic composition for preventing disease due to feline leukemia virus (FeLV), and for immunizing feline against pathogenic FeLV, comprises alphavirus RNA replicon particle that encodes FeLV antigen.",WO2019086646-A1,2019,English,9,World,WO
127," Food composition useful for relieving and improving cold and cold symptoms including e.g. cough by inhibiting cold virus, comprises e.g. xylitol, vitamin C, Manuka honey, cnidii rhizoma, aurantii fructus immaturus and kalopanacis cortex.",KR2019045050-A,2019,,0,World,KR
128," System used for evaluating human enteric disease, comprises anaerobic chamber, aerobic chamber, and gas adjustable chamber, where method for producing system involves providing gut tissue to system comprising anaerobic chamber.",WO2019084484-A1,2019,English,4,World,WO
129," New binding molecule useful in plate and kit for determining antigen of Middle East Respiratory Syndrome coronavirus for determining antibody titer on sample, comprises specific amino acid sequence.",WO2019078600-A1,2019,,3,World,WO
130, Treating viral infection comprises administering antiviral compound to inhibit viral replication.,WO2019079339-A1,2019,English,2,World,WO
131, New N-(4-methyl-3-4-5-(4-methyl-isoxazol-5-yl)-pyridin-3-yl-pyrimidin-2-ylamino-phenyl)-4-(4-methyl-piperazin-1-ylmethyl)-benzamide useful for treating cancer or bacterial or viral infection or cardiovascular abnormalities.,US2019119266-A1,2019,English,2,World,US
132," Screening neutralizing antibody specific to virus, by exposing phage-displayed single-chain variable fragment (scFv) library to viral antigen, selecting phages, exposing to virus, and selecting soluble scFv exhibiting superior efficacy.",WO2019079671-A1,2019,English,3,World,WO
133, Treating acute respiratory distress syndrome comprises administering agent comprising adult stem cell or adult stem cell condition media.,US2019117702-A1,2019,English,7,World,US
134, New immunoglobulin G antibody useful for the preparing of drug for preventing/treating middle east respiratory syndrome coronavirus comprising of heavy chain and light chain.,CN109666070-A,2019,Chinese,2,China,CN
135," New fluorescent RT-PCR primer set useful for detecting SADS-CoV and preparing a reagent for detecting SADS-CoV comprises e.g. upstream primer, downstream primer and probe.",CN109666766-A,2019,Chinese,0,China,CN
